DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/01/2017,I5,1054.16,1,WARA,WARA1,Injector
02/02/2017,I5,851.258,1,WARA,WARA1,Injector
02/03/2017,I5,884.0,1,WARA,WARA1,Injector
02/04/2017,I5,1173.35,1,WARA,WARA1,Injector
02/05/2017,I5,1208.0,1,WARA,WARA1,Injector
02/06/2017,I5,982.0,1,WARA,WARA1,Injector
02/07/2017,I5,1077.0,1,WARA,WARA1,Injector
02/08/2017,I5,1124.0,1,WARA,WARA1,Injector
02/09/2017,I5,1001.61,1,WARA,WARA1,Injector
02/10/2017,I5,780.0,1,WARA,WARA1,Injector
02/11/2017,I5,704.323,1,WARA,WARA1,Injector
02/12/2017,I5,1044.0,1,WARA,WARA1,Injector
02/01/2018,I5,799.484,1,WARA,WARA1,Injector
02/02/2018,I5,667.161,1,WARA,WARA1,Injector
02/03/2018,I5,713.0,1,WARA,WARA1,Injector
02/04/2018,I5,767.194,1,WARA,WARA1,Injector
02/05/2018,I5,791.0,1,WARA,WARA1,Injector
02/06/2018,I5,1389.06,1,WARA,WARA1,Injector
02/07/2018,I5,1461.0,1,WARA,WARA1,Injector
02/08/2018,I5,1335.19,1,WARA,WARA1,Injector
02/09/2018,I5,1430.1,1,WARA,WARA1,Injector
02/10/2018,I5,1223.0,1,WARA,WARA1,Injector
02/11/2018,I5,1192.1,1,WARA,WARA1,Injector
02/12/2018,I5,1165.0,1,WARA,WARA1,Injector
02/01/2019,I5,1177.39,1,WARA,WARA1,Injector
02/02/2019,I5,916.935,1,WARA,WARA1,Injector
02/03/2019,I5,1755.0,1,WARA,WARA1,Injector
02/04/2019,I5,1546.94,1,WARA,WARA1,Injector
02/05/2019,I5,1373.73,1,WARA,WARA1,Injector
02/06/2019,I5,1203.48,1,WARA,WARA1,Injector
02/07/2019,I5,1205.0,1,WARA,WARA1,Injector
02/08/2019,I5,1251.45,1,WARA,WARA1,Injector
02/09/2019,I5,1064.0,1,WARA,WARA1,Injector
02/10/2019,I5,1222.0,1,WARA,WARA1,Injector
02/11/2019,I5,1064.0,1,WARA,WARA1,Injector
02/12/2019,I5,1030.0,1,WARA,WARA1,Injector
02/01/2020,I5,942.355,1,WARA,WARA1,Injector
02/02/2020,I5,958.871,1,WARA,WARA1,Injector
